filepath,class_name,true_label,pred_label,pred_class,pred_confidence,correct,has_mask,gradcam_foreground_fraction,gradcam_background_fraction,gradcam_misleading,lime_foreground_fraction,lime_background_fraction,lime_misleading
data/raw/PlantVillage Dataset (Labeled)/Color Images/Corn_(maize)___Northern_Leaf_Blight/9a16ff5e-7227-4739-8e42-f1bc3e478acf___RS_NLB 3699.JPG,Corn_(maize)___Northern_Leaf_Blight,6,6,Corn_(maize)___Northern_Leaf_Blight,0.9303950071334839,True,True,0.9755424857139587,0.02445751428604126,False,0.8476002812385559,0.1523997187614441,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Corn_(maize)___healthy/e2b6e2e6-4b4a-46be-8459-153661e95d35___R.S_HL 5535 copy.jpg,Corn_(maize)___healthy,7,7,Corn_(maize)___healthy,0.8537027835845947,True,True,1.0,0.0,False,1.0,0.0,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Corn_(maize)___healthy/5cea75f9-09bb-4840-8646-35fe12841bf3___R.S_HL 8127 copy.jpg,Corn_(maize)___healthy,7,7,Corn_(maize)___healthy,0.9273216128349304,True,True,1.0,0.0,False,1.0,0.0,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Grape___Black_rot/e03da34f-e1f4-4117-952d-d55fab631df1___FAM_B.Rot 0354.JPG,Grape___Black_rot,8,8,Grape___Black_rot,0.8304068446159363,True,False,,,,,,
data/raw/PlantVillage Dataset (Labeled)/Color Images/Grape___Black_rot/b1dab25f-063e-4ce2-bbda-fdd6d662dce9___FAM_B.Rot 3164.JPG,Grape___Black_rot,8,8,Grape___Black_rot,0.9268971085548401,True,False,,,,,,
data/raw/PlantVillage Dataset (Labeled)/Color Images/Grape___Esca_(Black_Measles)/c523e697-7333-40aa-b81d-ee1b9f22eed3___FAM_B.Msls 4169.JPG,Grape___Esca_(Black_Measles),9,9,Grape___Esca_(Black_Measles),0.8847758769989014,True,True,0.7314128279685974,0.2685871720314026,False,0.7017444372177124,0.2982555627822876,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Grape___Esca_(Black_Measles)/e1f2cfa2-696a-4661-80ff-c85c50724181___FAM_B.Msls 0983.JPG,Grape___Esca_(Black_Measles),9,9,Grape___Esca_(Black_Measles),0.8784558176994324,True,True,0.7433037757873535,0.2566962242126465,False,0.85495924949646,0.14504075050354004,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/b85120a1-29c3-4c42-b975-1d19e5f88c88___FAM_L.Blight 1645.JPG,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),10,10,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.8169432878494263,True,False,,,,,,
data/raw/PlantVillage Dataset (Labeled)/Color Images/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/a381e197-b9cf-4bdd-92f5-3dbef83149cd___FAM_L.Blight 4775.JPG,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),10,10,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9299391508102417,True,False,,,,,,
data/raw/PlantVillage Dataset (Labeled)/Color Images/Grape___healthy/9268b279-6e48-45ec-98b9-58475d9466e8___Mt.N.V_HL 9132.JPG,Grape___healthy,11,11,Grape___healthy,0.907346785068512,True,False,,,,,,
data/raw/PlantVillage Dataset (Labeled)/Color Images/Grape___healthy/18db578d-ab6c-4469-8e07-01d8c211a91f___Mt.N.V_HL 8983.JPG,Grape___healthy,11,11,Grape___healthy,0.8178640007972717,True,False,,,,,,
data/raw/PlantVillage Dataset (Labeled)/Color Images/Potato___Early_blight/8c3d0f9e-3a77-4ec2-a9ad-d996caa2c562___RS_Early.B 6887.JPG,Potato___Early_blight,12,12,Potato___Early_blight,0.910369873046875,True,True,0.8329129815101624,0.16708701848983765,False,0.8087633848190308,0.19123661518096924,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Potato___Early_blight/691161ad-7897-4654-a7bc-14d8b5839621___RS_Early.B 6976.JPG,Potato___Early_blight,12,12,Potato___Early_blight,0.9614303708076477,True,True,0.7493484020233154,0.25065159797668457,False,0.6229261755943298,0.37707382440567017,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Potato___Late_blight/2577b25b-c0ac-442b-8093-42e6490bad1e___RS_LB 4319.JPG,Potato___Late_blight,13,13,Potato___Late_blight,0.9550082087516785,True,True,0.585054874420166,0.414945125579834,False,0.5867314338684082,0.4132685661315918,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Potato___Late_blight/76ebfd7a-b3d8-4cde-b6b6-7e5132ec269b___RS_LB 4935.JPG,Potato___Late_blight,13,13,Potato___Late_blight,0.907871663570404,True,True,0.8627060651779175,0.13729393482208252,False,0.6792391538619995,0.3207608461380005,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Tomato___Bacterial_spot/484ce1a5-f249-43ed-afb7-9cd7c2173e29___GCREC_Bact.Sp 3596.JPG,Tomato___Bacterial_spot,14,17,Tomato___Target_Spot,0.4825708866119385,False,True,0.8735179305076599,0.1264820694923401,False,0.4657237231731415,0.5342762768268585,True
data/raw/PlantVillage Dataset (Labeled)/Color Images/Tomato___Bacterial_spot/b8f38ecf-ef8d-47b5-90a3-e937a300a931___GCREC_Bact.Sp 5770.JPG,Tomato___Bacterial_spot,14,14,Tomato___Bacterial_spot,0.9311555624008179,True,True,0.8016135692596436,0.19838643074035645,False,0.5149540901184082,0.4850459098815918,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Tomato___Late_blight/b15c92e9-6973-415c-80fe-82703ff722f7___RS_Late.B 4994.JPG,Tomato___Late_blight,15,15,Tomato___Late_blight,0.9453070163726807,True,True,0.6552731394767761,0.3447268605232239,False,0.694170355796814,0.30582964420318604,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Tomato___Late_blight/d6e6897a-5083-4914-9903-804c5684a956___GHLB2 Leaf 102.JPG,Tomato___Late_blight,15,15,Tomato___Late_blight,0.6947158575057983,True,True,0.7582303285598755,0.2417696714401245,False,0.7856911420822144,0.21430885791778564,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Tomato___Septoria_leaf_spot/fb813bed-8f8e-4e2a-8efb-9bccc1dd3661___Matt.S_CG 6595.JPG,Tomato___Septoria_leaf_spot,16,16,Tomato___Septoria_leaf_spot,0.927668035030365,True,False,,,,,,
data/raw/PlantVillage Dataset (Labeled)/Color Images/Tomato___Septoria_leaf_spot/fd774721-5f04-4293-b462-8301952d140a___Matt.S_CG 6372.JPG,Tomato___Septoria_leaf_spot,16,16,Tomato___Septoria_leaf_spot,0.4782586991786957,True,False,,,,,,
data/raw/PlantVillage Dataset (Labeled)/Color Images/Tomato___Target_Spot/43a7a8f7-67b8-4d02-8da5-57a6b1e28b01___Com.G_TgS_FL 0920.JPG,Tomato___Target_Spot,17,17,Tomato___Target_Spot,0.9563178420066833,True,False,,,,,,
data/raw/PlantVillage Dataset (Labeled)/Color Images/Tomato___Target_Spot/2a71aaa1-bbbc-4d44-a8b6-8ef1f0ebd8ff___Com.G_TgS_FL 1102.JPG,Tomato___Target_Spot,17,17,Tomato___Target_Spot,0.9121514558792114,True,False,,,,,,
data/raw/PlantVillage Dataset (Labeled)/Color Images/Tomato___Tomato_mosaic_virus/b3937c46-37f8-4216-b0cc-db591b1c3514___PSU_CG 2186.JPG,Tomato___Tomato_mosaic_virus,18,18,Tomato___Tomato_mosaic_virus,0.955829918384552,True,True,0.08598095923662186,0.9140190407633781,True,0.34347763657569885,0.6565223634243011,True
data/raw/PlantVillage Dataset (Labeled)/Color Images/Tomato___Tomato_mosaic_virus/e98b0937-0e74-4bc9-bfa5-9018ce0498d2___PSU_CG 2298.JPG,Tomato___Tomato_mosaic_virus,18,18,Tomato___Tomato_mosaic_virus,0.9225791096687317,True,True,0.3357451558113098,0.6642548441886902,True,0.44573184847831726,0.5542681515216827,True
