filepath,class_name,true_label,pred_label,pred_class,pred_confidence,correct,has_mask,gradcam_foreground_fraction,gradcam_background_fraction,gradcam_misleading,lime_foreground_fraction,lime_background_fraction,lime_misleading
data/raw/PlantVillage Dataset (Labeled)/Color Images/Corn_(maize)___Common_rust_/RS_Rust 1837.JPG,Corn_(maize)___Common_rust_,5,5,Corn_(maize)___Common_rust_,0.9367407560348511,True,False,,,,,,
data/raw/PlantVillage Dataset (Labeled)/Color Images/Corn_(maize)___Common_rust_/RS_Rust 2656.JPG,Corn_(maize)___Common_rust_,5,5,Corn_(maize)___Common_rust_,0.9752174615859985,True,False,,,,,,
data/raw/PlantVillage Dataset (Labeled)/Color Images/Corn_(maize)___Northern_Leaf_Blight/5544871e-cc3b-47ba-92fb-d189b04d3b2e___RS_NLB 3728.JPG,Corn_(maize)___Northern_Leaf_Blight,6,4,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.48141592741012573,False,True,0.6139576435089111,0.38604235649108887,False,0.38802552223205566,0.6119744777679443,True
data/raw/PlantVillage Dataset (Labeled)/Color Images/Corn_(maize)___Northern_Leaf_Blight/9a16ff5e-7227-4739-8e42-f1bc3e478acf___RS_NLB 3699.JPG,Corn_(maize)___Northern_Leaf_Blight,6,6,Corn_(maize)___Northern_Leaf_Blight,0.7600255012512207,True,True,0.6858289837837219,0.3141710162162781,False,0.8544290661811829,0.14557093381881714,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Corn_(maize)___healthy/e2b6e2e6-4b4a-46be-8459-153661e95d35___R.S_HL 5535 copy.jpg,Corn_(maize)___healthy,7,7,Corn_(maize)___healthy,0.8192232251167297,True,True,1.0,0.0,False,1.0,0.0,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Corn_(maize)___healthy/5cea75f9-09bb-4840-8646-35fe12841bf3___R.S_HL 8127 copy.jpg,Corn_(maize)___healthy,7,7,Corn_(maize)___healthy,0.8823946118354797,True,True,1.0,0.0,False,1.0,0.0,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Grape___Black_rot/e03da34f-e1f4-4117-952d-d55fab631df1___FAM_B.Rot 0354.JPG,Grape___Black_rot,8,8,Grape___Black_rot,0.6063467860221863,True,False,,,,,,
data/raw/PlantVillage Dataset (Labeled)/Color Images/Grape___Black_rot/b1dab25f-063e-4ce2-bbda-fdd6d662dce9___FAM_B.Rot 3164.JPG,Grape___Black_rot,8,8,Grape___Black_rot,0.9542122483253479,True,False,,,,,,
data/raw/PlantVillage Dataset (Labeled)/Color Images/Grape___Esca_(Black_Measles)/c523e697-7333-40aa-b81d-ee1b9f22eed3___FAM_B.Msls 4169.JPG,Grape___Esca_(Black_Measles),9,9,Grape___Esca_(Black_Measles),0.8274725675582886,True,True,0.38116708397865295,0.618832916021347,True,0.3965635597705841,0.6034364402294159,True
data/raw/PlantVillage Dataset (Labeled)/Color Images/Grape___Esca_(Black_Measles)/e1f2cfa2-696a-4661-80ff-c85c50724181___FAM_B.Msls 0983.JPG,Grape___Esca_(Black_Measles),9,9,Grape___Esca_(Black_Measles),0.8702318072319031,True,True,0.4418792426586151,0.5581207573413849,True,0.6317611932754517,0.36823880672454834,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/b85120a1-29c3-4c42-b975-1d19e5f88c88___FAM_L.Blight 1645.JPG,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),10,11,Grape___healthy,0.5687608122825623,False,False,,,,,,
data/raw/PlantVillage Dataset (Labeled)/Color Images/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/a381e197-b9cf-4bdd-92f5-3dbef83149cd___FAM_L.Blight 4775.JPG,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),10,10,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9830044507980347,True,False,,,,,,
data/raw/PlantVillage Dataset (Labeled)/Color Images/Grape___healthy/9268b279-6e48-45ec-98b9-58475d9466e8___Mt.N.V_HL 9132.JPG,Grape___healthy,11,11,Grape___healthy,0.8606647849082947,True,False,,,,,,
data/raw/PlantVillage Dataset (Labeled)/Color Images/Grape___healthy/18db578d-ab6c-4469-8e07-01d8c211a91f___Mt.N.V_HL 8983.JPG,Grape___healthy,11,11,Grape___healthy,0.850531280040741,True,False,,,,,,
data/raw/PlantVillage Dataset (Labeled)/Color Images/Potato___Early_blight/8c3d0f9e-3a77-4ec2-a9ad-d996caa2c562___RS_Early.B 6887.JPG,Potato___Early_blight,12,12,Potato___Early_blight,0.8387733101844788,True,True,0.6052324175834656,0.3947675824165344,False,0.6257520318031311,0.3742479681968689,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Potato___Early_blight/691161ad-7897-4654-a7bc-14d8b5839621___RS_Early.B 6976.JPG,Potato___Early_blight,12,12,Potato___Early_blight,0.8191816210746765,True,True,0.38134491443634033,0.6186550855636597,True,0.5290945172309875,0.47090548276901245,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Potato___Late_blight/2577b25b-c0ac-442b-8093-42e6490bad1e___RS_LB 4319.JPG,Potato___Late_blight,13,13,Potato___Late_blight,0.948947548866272,True,True,0.2872008979320526,0.7127991020679474,True,0.3697443902492523,0.6302556097507477,True
data/raw/PlantVillage Dataset (Labeled)/Color Images/Potato___Late_blight/76ebfd7a-b3d8-4cde-b6b6-7e5132ec269b___RS_LB 4935.JPG,Potato___Late_blight,13,13,Potato___Late_blight,0.7488569617271423,True,True,0.41400063037872314,0.5859993696212769,True,0.563590407371521,0.436409592628479,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Tomato___Bacterial_spot/484ce1a5-f249-43ed-afb7-9cd7c2173e29___GCREC_Bact.Sp 3596.JPG,Tomato___Bacterial_spot,14,14,Tomato___Bacterial_spot,0.664821982383728,True,True,0.3729393482208252,0.6270606517791748,True,0.4340464472770691,0.5659535527229309,True
data/raw/PlantVillage Dataset (Labeled)/Color Images/Tomato___Bacterial_spot/b8f38ecf-ef8d-47b5-90a3-e937a300a931___GCREC_Bact.Sp 5770.JPG,Tomato___Bacterial_spot,14,14,Tomato___Bacterial_spot,0.5248056650161743,True,True,0.31924742460250854,0.6807525753974915,True,0.4554588794708252,0.5445411205291748,True
data/raw/PlantVillage Dataset (Labeled)/Color Images/Tomato___Late_blight/b15c92e9-6973-415c-80fe-82703ff722f7___RS_Late.B 4994.JPG,Tomato___Late_blight,15,15,Tomato___Late_blight,0.7695671916007996,True,True,0.4780365228652954,0.5219634771347046,True,0.5035280585289001,0.49647194147109985,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Tomato___Late_blight/d6e6897a-5083-4914-9903-804c5684a956___GHLB2 Leaf 102.JPG,Tomato___Late_blight,15,15,Tomato___Late_blight,0.5643396973609924,True,True,0.30343642830848694,0.6965635716915131,True,0.6742644309997559,0.32573556900024414,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Tomato___Septoria_leaf_spot/fb813bed-8f8e-4e2a-8efb-9bccc1dd3661___Matt.S_CG 6595.JPG,Tomato___Septoria_leaf_spot,16,16,Tomato___Septoria_leaf_spot,0.8493807315826416,True,False,,,,,,
data/raw/PlantVillage Dataset (Labeled)/Color Images/Tomato___Septoria_leaf_spot/fd774721-5f04-4293-b462-8301952d140a___Matt.S_CG 6372.JPG,Tomato___Septoria_leaf_spot,16,16,Tomato___Septoria_leaf_spot,0.4099951684474945,True,False,,,,,,
data/raw/PlantVillage Dataset (Labeled)/Color Images/Tomato___Target_Spot/43a7a8f7-67b8-4d02-8da5-57a6b1e28b01___Com.G_TgS_FL 0920.JPG,Tomato___Target_Spot,17,17,Tomato___Target_Spot,0.6789402365684509,True,False,,,,,,
data/raw/PlantVillage Dataset (Labeled)/Color Images/Tomato___Target_Spot/2a71aaa1-bbbc-4d44-a8b6-8ef1f0ebd8ff___Com.G_TgS_FL 1102.JPG,Tomato___Target_Spot,17,17,Tomato___Target_Spot,0.9021289944648743,True,False,,,,,,
data/raw/PlantVillage Dataset (Labeled)/Color Images/Tomato___Tomato_mosaic_virus/b3937c46-37f8-4216-b0cc-db591b1c3514___PSU_CG 2186.JPG,Tomato___Tomato_mosaic_virus,18,18,Tomato___Tomato_mosaic_virus,0.9429184794425964,True,True,0.18177901208400726,0.8182209879159927,True,0.27455267310142517,0.7254473268985748,True
data/raw/PlantVillage Dataset (Labeled)/Color Images/Tomato___Tomato_mosaic_virus/e98b0937-0e74-4bc9-bfa5-9018ce0498d2___PSU_CG 2298.JPG,Tomato___Tomato_mosaic_virus,18,18,Tomato___Tomato_mosaic_virus,0.9605004787445068,True,True,0.15586623549461365,0.8441337645053864,True,0.2929624617099762,0.7070375382900238,True
